,open,high,low,close,adj close,volume
2019-04-01,191.64,191.68,188.38,191.24,46.2053118204564,27861964.0
2019-04-02,191.09,194.46,191.05,194.02,46.8769849372775,22765732.0
2019-04-03,193.25,196.5,193.15,195.35,47.1983249535984,23271830.0
2019-04-04,194.79,196.37,193.14,195.69,47.2804720254398,19114275.0
2019-04-05,196.45,197.1,195.93,197.0,47.5969798610642,18526644.0
2019-04-08,196.42,200.23,196.34,200.1,48.3459678690301,25881697.0
2019-04-09,200.32,202.85,199.23,199.5,48.2010024481335,35768237.0
2019-04-10,198.68,200.74,198.18,200.62,48.4716045671406,21695288.0
2019-04-11,200.85,201.0,198.44,198.95,48.0681174789782,20900808.0
2019-04-12,199.2,200.14,196.21,198.87,48.048788756192,27760668.0
2019-04-15,198.58,199.85,198.01,199.23,48.13576800873,17536646.0
2019-04-16,199.46,201.37,198.56,199.25,48.1406001894266,25696385.0
2019-04-17,199.54,203.38,198.61,203.13,49.0780432445582,28906780.0
2019-04-18,203.12,204.15,202.52,203.86,49.2544178399824,24195766.0
2019-04-22,202.83,204.94,202.34,204.53,49.416295893317,19439545.0
2019-04-23,204.43,207.75,203.9,207.48,50.1290425460588,23322991.0
2019-04-24,207.36,208.48,207.05,207.16,50.051727654914,17540609.0
2019-04-25,206.83,207.76,205.12,205.28,49.5975026694378,18543206.0
2019-04-26,204.9,205.0,202.12,204.3,49.3607258153066,18649102.0
2019-04-29,204.4,205.97,203.86,204.61,49.4356246161032,22204716.0
2019-04-30,203.06,203.4,199.11,200.67,48.483685018882,46534923.0
2019-05-01,209.88,215.31,209.23,210.52,50.8635340119352,64827328.0
2019-05-02,209.84,212.65,208.13,209.15,50.5325296342212,31996324.0
2019-05-03,210.89,211.84,210.23,211.75,51.1607131247733,20892378.0
2019-05-06,204.29,208.84,203.5,208.48,50.3706515808866,32443113.0
2019-05-07,205.88,207.42,200.83,202.86,49.0128088051547,38763698.0
2019-05-08,201.9,205.34,201.75,202.9,49.0224731665478,26339504.0
2019-05-09,200.4,201.68,196.66,200.72,48.4957654706233,34908607.0
2019-05-10,197.42,198.85,192.77,197.18,47.8265084441505,41208712.0
2019-05-13,187.71,189.48,182.85,185.72,45.0468564167138,57430623.0
2019-05-14,186.41,189.7,185.41,188.66,45.7599608635431,36529677.0
2019-05-15,186.27,191.75,186.02,190.92,46.3081295879766,26544718.0
2019-05-16,189.91,192.47,188.84,190.08,46.104385460311,33031364.0
2019-05-17,186.93,190.9,186.76,189.0,45.8424287247411,32879090.0
2019-05-20,183.52,184.35,180.28,183.09,44.4089432550944,38612290.0
2019-05-21,185.22,188.0,184.7,186.6,45.2603026456968,28364848.0
2019-05-22,184.66,185.71,182.55,182.78,44.3337519698845,29748556.0
2019-05-23,179.8,180.54,177.81,179.66,43.5769880671269,36529736.0
2019-05-24,180.2,182.14,178.62,178.97,43.4096268194017,23714686.0
2019-05-28,178.92,180.59,177.91,178.23,43.2301379450296,27948160.0
2019-05-29,176.42,179.35,176.0,177.38,43.0239682920348,28481165.0
2019-05-30,177.95,179.23,176.67,178.3,43.2471166223351,21218412.0
2019-05-31,176.23,177.99,174.99,175.07,42.4636719409546,27043584.0
2019-06-03,175.6,177.92,170.27,173.3,42.0343539576594,40396069.0
2019-06-04,175.44,179.83,174.52,179.64,43.5721370164682,30967961.0
2019-06-05,184.28,184.99,181.14,182.54,44.2755393619801,29773427.0
2019-06-06,183.08,185.47,182.15,185.22,44.9255801502463,22526311.0
2019-06-07,186.51,191.92,185.77,190.15,46.1213641376165,30684393.0
2019-06-10,191.81,195.37,191.62,192.58,46.7107667926489,26220851.0
2019-06-11,194.86,196.0,193.6,194.81,47.2516589410942,26932882.0
2019-06-12,193.95,195.97,193.39,194.19,47.1012763706745,18253189.0
2019-06-13,194.7,196.79,193.6,194.15,47.091574269357,21674625.0
2019-06-14,191.55,193.59,190.3,192.74,46.7495751979185,18761474.0
2019-06-17,192.9,194.96,192.17,193.89,47.0285106107939,14669144.0
2019-06-18,196.05,200.29,195.21,198.45,48.1345501609781,26551004.0
2019-06-19,199.68,199.88,197.31,197.87,47.9938696918758,21124235.0
2019-06-20,200.37,200.61,198.03,199.46,48.3795282192426,21513988.0
2019-06-21,198.8,200.85,198.15,198.78,48.2145924968467,47800589.0
2019-06-24,198.54,200.16,198.17,198.58,48.1660819902597,18220421.0
2019-06-25,198.43,199.26,195.29,195.57,47.4359988661249,21070334.0
2019-06-26,197.77,200.99,197.35,199.8,48.4619960804406,26067512.0
2019-06-27,200.29,201.57,199.57,199.74,48.4474429284645,20899717.0
2019-06-28,198.68,199.5,197.05,197.92,48.0059973185225,31110642.0
2019-07-01,203.17,204.49,200.65,201.55,48.8864630130771,27316739.0
2019-07-02,201.41,203.13,201.36,202.73,49.1726750019405,16935217.0
2019-07-03,203.28,204.44,202.69,204.41,49.5801632572716,11362045.0
2019-07-05,203.35,205.08,202.9,204.23,49.5365038013432,17265518.0
2019-07-08,200.81,201.4,198.41,200.02,48.5153576376863,25338628.0
2019-07-09,199.2,201.51,198.81,201.24,48.8112717278672,20578015.0
2019-07-10,201.85,203.73,201.56,203.23,49.2939512684081,17897138.0
2019-07-11,203.31,204.39,201.71,201.75,48.9349735196641,20191842.0
2019-07-12,202.45,204.0,202.2,203.3,49.3109299457136,17595212.0
2019-07-15,204.09,205.87,204.0,205.21,49.7742052836197,16947420.0
2019-07-16,204.59,206.11,203.5,204.5,49.6019929852357,16866816.0
2019-07-17,204.05,205.09,203.27,203.35,49.3230575723603,14107450.0
2019-07-18,204.0,205.88,203.7,205.66,49.8833539234405,18582161.0
2019-07-19,205.79,206.5,202.36,202.59,49.1387176473296,20929307.0
2019-07-22,203.65,207.23,203.61,207.22,50.2617358748193,22277932.0
2019-07-23,208.46,208.91,207.29,208.84,50.6546709781742,18355210.0
2019-07-24,207.67,209.15,207.17,208.67,50.6134370475752,14991567.0
2019-07-25,208.89,209.24,206.73,207.02,50.2132253682323,13909535.0
2019-07-26,207.48,209.73,207.14,207.74,50.3878631919456,17618874.0
2019-07-29,208.46,210.64,208.44,209.68,50.8584151058397,21673389.0
2019-07-30,208.76,210.16,207.31,208.78,50.6401178261981,33935718.0
2019-07-31,216.42,221.37,211.3,213.04,51.6733916165018,69281361.0
2019-08-01,213.9,218.03,206.74,208.43,50.5552244396708,54017922.0
2019-08-02,205.53,206.43,201.63,204.02,49.4855677694269,40862122.0
2019-08-05,197.99,198.65,192.58,193.34,46.8951067176796,52392969.0
2019-08-06,196.31,198.07,194.04,197.0,47.7828489882222,35824787.0
2019-08-07,195.41,199.56,193.82,199.04,48.2776561554099,33364400.0
2019-08-08,200.2,203.53,199.39,203.43,49.3424617749951,27009523.0
2019-08-09,201.3,202.76,199.29,200.99,48.9373990449935,24619746.0
2019-08-12,199.62,202.05,199.15,200.48,48.8132233471331,22481889.0
2019-08-13,201.02,212.14,200.48,208.97,50.8803834938668,47539786.0
2019-08-14,203.16,206.44,202.59,202.75,49.3659269434918,36547443.0
