,open,high,low,close,adj close,volume
2019-01-02,1465.2,1553.36,1460.93,1539.13,76.9565,7983103.0
2019-01-03,1520.01,1538.0,1497.11,1500.28,75.014,6975572.0
2019-01-04,1530.0,1594.0,1518.31,1575.39,78.7695,9182575.0
2019-01-07,1602.31,1634.56,1589.19,1629.51,81.4755,7993213.0
2019-01-08,1664.69,1676.61,1616.61,1656.58,82.829,8881428.0
2019-01-09,1652.98,1667.8,1641.4,1659.42,82.971,6348801.0
2019-01-10,1641.01,1663.25,1621.62,1656.22,82.811,6507693.0
2019-01-11,1640.55,1660.29,1636.22,1640.56,82.028,4686222.0
2019-01-14,1615.0,1648.2,1595.15,1617.21,80.8605,6005888.0
2019-01-15,1632.0,1675.16,1626.01,1674.56,83.728,5998510.0
2019-01-16,1684.22,1705.0,1675.88,1683.78,84.189,6366864.0
2019-01-17,1680.0,1700.17,1677.5,1693.22,84.661,4208875.0
2019-01-18,1712.0,1716.2,1691.54,1696.2,84.81,6020503.0
2019-01-22,1681.0,1681.87,1610.2,1632.17,81.6085,6416796.0
2019-01-23,1656.0,1657.43,1612.0,1640.02,82.001,5225212.0
2019-01-24,1641.07,1657.26,1631.78,1654.93,82.7465,4089943.0
2019-01-25,1670.5,1683.48,1661.61,1670.57,83.5285,4959679.0
2019-01-28,1643.59,1645.0,1614.09,1637.89,81.8945,4837711.0
2019-01-29,1631.27,1632.38,1590.72,1593.88,79.694,4632782.0
2019-01-30,1623.0,1676.95,1619.68,1670.43,83.5215,5783822.0
2019-01-31,1692.85,1736.41,1679.08,1718.73,85.9365,10910338.0
2019-02-01,1638.88,1673.06,1622.01,1626.23,81.3115,11506213.0
2019-02-04,1623.0,1649.63,1613.5,1633.31,81.6655,4929187.0
2019-02-05,1643.34,1665.26,1642.5,1658.81,82.9405,4453105.0
2019-02-06,1670.75,1672.26,1633.34,1640.26,82.013,3939883.0
2019-02-07,1625.0,1625.54,1592.91,1614.37,80.7185,4626589.0
2019-02-08,1586.0,1588.59,1566.76,1588.22,79.411,5657457.0
2019-02-11,1600.98,1609.29,1586.0,1591.0,79.55,3317328.0
2019-02-12,1604.0,1639.4,1598.88,1638.01,81.9005,4858604.0
